"Año";"Periodo";"Parámetro";"Renta bruta media";"Renta disponible media"
"2018";"Año";"26007-La Cava-Fardachón-Las Gaunas-Siete Infantes (Logroño)";"31.789";"25.539"
"2018";"Año";"26008-San Adrián- La Cava (Logroño)";"31.430";"25.292"
"2018";"Año";"28001-Salamanca- Goya (Madrid)";"95.492";"71.599"
"2018";"Año";"28002-Chamartín (Madrid)";"56.565";"43.426"
"2018";"Año";"28003-Chamberí-Rios Rosas (Madrid)";"54.610";"41.968"
"2018";"Año";"28004-Justicia (Madrid)";"46.241";"35.353"
"2018";"Año";"28005-Arganzuela (Madrid)";"38.190";"30.078"
"2018";"Año";"28006-Castellana (Madrid)";"91.283";"68.569"
"2018";"Año";"28007-Adelfas (Madrid)";"44.363";"34.703"
"2018";"Año";"28008-Moncloa (Madrid)";"56.732";"43.807"
"2018";"Año";"28009-Ibiza-Niño Jesús (Madrid)";"56.904";"43.765"
"2018";"Año";"28010-Almagro (Madrid)";"72.484";"54.920"
"2018";"Año";"28011-Latina (Madrid)";"28.649";"23.578"
"2018";"Año";"28012-Embajadores (Madrid)";"31.351";"25.118"
"2018";"Año";"28013-Centro (Madrid)";"46.956";"36.653"
"2018";"Año";"28014-Retiro (Madrid)";"61.845";"47.443"
"2018";"Año";"28015-Universidad (Madrid)";"42.662";"33.475"
"2018";"Año";"28016-Hispanoamerica-Costillares (Madrid)";"68.463";"51.338"
"2018";"Año";"28017-Ventas-Ciudad Lineal-La Elipa (Madrid)";"26.357";"21.889"
"2018";"Año";"28018-Palomeras (Madrid)";"23.637";"19.885"
"2018";"Año";"28019-Opañel-Comillas-San Isidro (Madrid)";"26.222";"21.796"
"2018";"Año";"28020-Valdeacederas (Madrid)";"44.741";"34.930"
"2018";"Año";"28021-Villaverde-S. Cristóbal de Los Ángeles (Madrid)";"23.307";"19.709"
"2018";"Año";"28022-San Blas (Madrid)";"33.903";"27.131"
"2018";"Año";"28023-Aravaca (Madrid)";"95.427";"69.536"
"2018";"Año";"28024-Campamento (Madrid)";"27.525";"22.959"
"2018";"Año";"28025-Carabanchel-Abrantes (Madrid)";"24.346";"20.457"
"2018";"Año";"28026-Usera (Madrid)";"23.674";"19.926"
"2018";"Año";"28027-San Juan Bautista (Madrid)";"36.599";"29.085"
"2018";"Año";"28028-Guindalera-Fuente El Berro (Madrid)";"42.640";"33.469"
"2018";"Año";"28029-Tetuán-Barrio Del Pilar (Madrid)";"32.550";"26.246"
"2018";"Año";"28030-Moratalaz (Madrid)";"30.779";"25.078"
"2018";"Año";"28031-Villa Vallecas-Santa Eugenia (Madrid)";"26.653";"22.087"
"2018";"Año";"28032-Vicalvaro- Valdebernardo (Madrid)";"29.750";"24.254"
"2018";"Año";"28033-Hortaleza-Pinar Del Rey (Madrid)";"41.358";"32.406"
"2018";"Año";"28034-Tres Olivos (Madrid)";"49.158";"37.789"
"2018";"Año";"28035-Fuencarral (Madrid)";"49.002";"37.574"
"2018";"Año";"28036-Nueva España (Madrid)";"86.202";"64.138"
"2018";"Año";"28037-San Blas (Madrid)";"26.844";"22.087"
"2018";"Año";"28038-Pavones (Madrid)";"22.812";"19.356"
"2018";"Año";"28039-Bellas Vistas-Valdeacederas (Madrid)";"30.000";"24.354"
"2018";"Año";"28040-Ciudad Universitaria (Madrid)";"51.591";"39.961"
"2018";"Año";"28041-Orcasitas-San Fermín (Madrid)";"24.771";"20.799"
"2018";"Año";"28042-Barajas-La Alameda de Osuna (Madrid)";"47.318";"36.363"
"2018";"Año";"28043-Hortaleza-Canillas (Madrid)";"52.890";"40.039"
"2018";"Año";"28044-Cuatrovientos (Madrid)";"25.733";"21.533"
"2018";"Año";"28045-Delicias (Madrid)";"37.311";"29.556"
"2018";"Año";"28046-Castilla -Chamartín (Madrid)";"72.809";"54.526"
"2018";"Año";"28047-Aluche-Vista Alegre (Madrid)";"26.728";"22.228"
"2018";"Año";"28048-Fuencarral El Pardo (Madrid)";"30.784";"25.246"
